feature_id	IL4_direction	IL4_nominal	IL4_FDR_significant	IL4_log2FC	IL4_P	IL4_FDR	IL13_direction	IL13_nominal	IL13_FDR_significant	IL13_log2FC	IL13_P	IL13_FDR
hsa-miR-148b-5p	down	FALSE	FALSE	-0.431777103543126	0.260388468511467	0.71519809890531	down	FALSE	FALSE	-0.254363987846149	0.301859631568323	0.753091701676768
hsa-miR-369-3p	up	FALSE	FALSE	0.0436807730821709	0.812893565892058	0.922507172387301	down	FALSE	FALSE	-0.0869946221084907	0.685820129794672	0.916516159024411
hsa-miR-7705	down	FALSE	FALSE	-0.444628053934891	0.422649730810374	0.71519809890531	down	FALSE	FALSE	-0.444628053934891	0.422649730810374	0.753091701676768
hsa-miR-410-3p	up	FALSE	FALSE	0.772683242824224	0.422649730810374	0.71519809890531	up	FALSE	FALSE	0.397122856885267	0.422649730810374	0.753091701676768
hsa-miR-656-3p	down	FALSE	FALSE	-0.439476392783952	0.501406623569011	0.771614181033681	up	FALSE	FALSE	0.0679281875230964	0.917692466887519	0.972857097713563
hsa-miR-34c-3p	down	FALSE	FALSE	-1.37232148731753	0.199917883806415	0.71519809890531	down	TRUE	FALSE	-1.87089716070986	0.0433187845736281	0.753091701676768
hsa-miR-5094	unchanged	FALSE	FALSE	0			up	FALSE	FALSE	0.354282845927852	0.422649730810374	0.753091701676768
hsa-miR-154-3p	down	FALSE	FALSE	-0.155509633671125	0.83086265324691	0.929930641148117	down	FALSE	FALSE	-0.419241895559518	0.573130202892322	0.857164509503919
hsa-miR-487a-3p	up	FALSE	FALSE	0.783642773705544	0.500755731321571	0.771614181033681	down	FALSE	FALSE	-0.410802908205801	0.651534709663839	0.916516159024411
hsa-miR-382-3p	up	FALSE	FALSE	0.0543795235981106	0.833322797668251	0.930549082894401	down	FALSE	FALSE	-0.112943656079092	0.788963904149034	0.955943601815913
hsa-miR-4733-5p	up	FALSE	FALSE	0.62364792046265	0.422649730810374	0.71519809890531	unchanged	FALSE	FALSE	0		
hsa-miR-362-5p	up	FALSE	FALSE	1.6893932538255	0.215877449500974	0.71519809890531	up	FALSE	FALSE	0.385830159147792	0.750384086859819	0.938893632400183
hsa-miR-501-5p	up	FALSE	FALSE	0.277368529635816	0.763102488413236	0.902838259180939	down	FALSE	FALSE	-0.444628053934891	0.422649730810374	0.753091701676768
