assay	analysis_source	contrast	feature_id	log2_fold_change	raw_p_value	BH_FDR	direction	nominal_discovery	FDR_significant	biologically_prioritized	experimentally_evaluated	candidate_highlight	candidate_highlight_reason	threshold_interpretation	mean_CPM_vehicle	mean_CPM_treatment	mean_log2_CPM_plus_1_vehicle	mean_log2_CPM_plus_1_treatment	V_A	V_B	V_C	IL13_A	IL13_B	IL13_C	label_for_plot
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-181a-5p	-0.196632541444659	0.12513742518232	0.753091701676768	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	377.797682844667	328.996896300833	8.56068631545743	8.36405377401277	421.2628111368	357.5582538789	354.5719835183	312.3201756965	319.6394980358	355.0310151702	hsa-miR-181a-5p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-181b-5p	-0.104119294174659	0.549012481289694	0.835453775875621	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	205.700367708833	192.427447957167	7.68693884658861	7.58281955241396	228.1206558503	199.7693888068	189.2110584694	171.6264224275	175.8659085578	229.7900128862	hsa-miR-181b-5p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-181d-5p	-0.451386897768671	0.365397404222215	0.753091701676768	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	17.6819308570667	13.2713148401333	4.1969997924139	3.74561289464523	22.812065585	15.9236469339	14.3100800523	6.9847962616	15.4043131584	17.4248351004	hsa-miR-181d-5p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-181c-3p	-0.261745855541375	0.667336796547418	0.916516159024411	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	16.9363231585667	13.3648040800333	4.03574990419432	3.77400404865294	18.249652468	24.6092725342	7.9500444735	14.9674205605	7.7021565792	17.4248351004	hsa-miR-181c-3p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-100-5p	-0.0785674563490399	0.685534493132296	0.916516159024411	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	3812.85163039227	3565.55114128997	11.8780849904837	11.7995175341347	4562.4131170055	3812.9896385302	3063.1521356411	3463.461117708	3732.9785553738	3500.2137507881	hsa-miR-100-5p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-99a-5p	0.44155224375126	0.174400200576328	0.753091701676768	up	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	51.2092581065	69.6366947501	5.67834496568362	6.11989720943488	65.3945880104	40.5329194681	47.700266841	86.8110392511	65.468330923	56.6307140762	hsa-miR-99a-5p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-4798-3p	-0.67164322191825	0.422649730810374	0.753091701676768	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	1.01386958156667	0	0.67164322191825	0	3.0416087447	0	0	0	0	0	hsa-miR-4798-3p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-193b-3p	0.27663816410788	0.122610750734091	0.753091701676768	up	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	28.5805761961	35.0280391554667	4.88594181060701	5.16257997471489	27.374478702	28.9520853343	29.415164552	29.9348411211	35.9433973695	39.2058789758	hsa-miR-193b-3p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-193a-3p	0.726757996930749	0.281677800888311	0.753091701676768	up	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	7.20843235823333	12.1904710431	2.89050880828396	3.61726680521471	4.562413117	4.3428128001	12.7200711576	7.982624299	8.9858493424	19.6029394879	hsa-miR-193a-3p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-452-5p	-0.166457591540467	0.612421438494889	0.890640596149077	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	9.8413031314	9.0045312194	3.43439552504858	3.26793793350811	10.6456306063	10.133229867	8.7450489209	12.9717644858	6.418463816	7.6233653564	hsa-miR-452-5p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-483-5p	-0.125091774984315	0.325114991808233	0.753091701676768	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	52.3594696890667	47.7742889382	5.73156935917472	5.60647758419041	45.6241311701	55.0089621352	56.4453157619	49.8914018685	48.7803250014	44.6511399447	hsa-miR-483-5p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-4499	0			unchanged	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	0	0	0	0	0	0	0	0	0	0	hsa-miR-4499
