circRNA	circRNA_type	GeneSymbol	P	log10FC	reg	sig
hsa_circRNA_104348	exonic	ELMO1	0.286623928854043	0.0402125363833685	up	no
hsa_circRNA_101996	exonic	SPECC1	0.204094912049215	0.141116960247223	up	no
hsa_circRNA_102473	exonic	MYO9B	0.077474231140325	0.117536323453879	up	no
hsa_circRNA_100117	exonic	EYA3	0.162371208252567	0.0594495347077415	up	no
hsa_circRNA_011153	exonic	TRNAU1AP	0.173896000632906	0.132571525022931	up	no
hsa_circRNA_100865	exonic	PPP6R3	0.128597124926522	0.128158132239619	up	no
hsa_circRNA_103745	exonic	INPP4B	0.126173753030914	0.0658569660175528	up	no
hsa_circRNA_104194	exonic	PDE7B	0.159016506316499	0.0998280160252688	up	no
hsa_circRNA_101224	exonic	PSPC1	0.483221764700673	-0.00589152786756809	down	no
hsa_circRNA_090099	exonic	SAT1	0.273584986113144	0.0410662706506357	up	no
hsa_circRNA_100885	exonic	RAB6A	0.203706315743831	0.0891697765825397	up	no
hsa_circRNA_088498	exonic	PSMB7	0.0990486397678986	0.113943352306837	up	no
hsa_circRNA_087659	exonic	BDAG1	0.118676352430429	0.0330601008859209	up	no
hsa_circRNA_400732	exonic	QSER1	0.206478836488514	0.031233597717902	up	no
hsa_circRNA_103432	exonic	SPICE1	0.225532549879712	0.0991700067389549	up	no
hsa_circRNA_403821	exonic	CCT6P1	0.161157539688813	0.0706179398247051	up	no
hsa_circRNA_401846	exonic	USP32	0.271003273213036	0.0474246499281381	up	no
hsa_circRNA_102078	exonic	EZH1	0.105775672766066	0.047548398178556	up	no
hsa_circRNA_103556	exonic	TFRC	0.13791446740587	0.159350887585157	up	no
hsa_circRNA_102324	exonic	TMEM241	0.08971424494073	0.0593562888968239	up	no
hsa_circRNA_001196	intronic	PCM1	0.10352991892145	0.0579919469776867	up	no
hsa_circRNA_021003	exonic	FXC1	0.0759208622689841	0.0603931791822939	up	no
hsa_circRNA_103314	exonic	CNOT10	0.141089752921709	0.134842953713249	up	no
hsa_circRNA_046753	exonic	MYL12A	0.193548949507112	0.0463597671341223	up	no
hsa_circRNA_005880	sense overlapping	GTF2H2C	0.487655382988536	0.00151059102523851	up	no
hsa_circRNA_045801	exonic	UBE2O	0.142339064989809	0.0570689456319998	up	no
hsa_circRNA_406786	exonic	BEND6	0.0999989594118232	0.0848583789393153	up	no
hsa_circRNA_400435	exonic	COG2	0.137246927595122	0.0621479067488444	up	no
hsa_circRNA_002554	exonic	ACTR8	0.366086376933912	0.0403710926732715	up	no
hsa_circRNA_100676	exonic	PCGF6	0.14032803810942	0.107336789471197	up	no
hsa_circRNA_000615	sense overlapping	ZNF609	0.191084953878386	0.0947433424413065	up	no
hsa_circRNA_009118	exonic	DNAJC16	0.103948122291997	0.0772722562402937	up	no
hsa_circRNA_407172	sense overlapping	RP11-182N22.7	0.262644386812931	0.0401534000445853	up	no
hsa_circRNA_401083	exonic	KDM2B	0.0926089694248899	0.0645407198647347	up	no
hsa_circRNA_067524	exonic	PIK3CB	0.287572579778675	0.0109399860640128	up	no
hsa_circRNA_001104	antisense	DHX35	0.251493013864292	0.0591641325257377	up	no
hsa_circRNA_404765	exonic	DNA2	0.181569306990208	0.0631315866300978	up	no
hsa_circRNA_405630	exonic	PRPSAP1	0.143613796612746	0.148681881872582	up	no
hsa_circRNA_016681	exonic	TMEM63A	0.115459052854556	0.128895889105717	up	no
hsa_circRNA_102686	exonic	CRIM1	0.324392778974417	-0.0277434102327696	down	no
hsa_circRNA_104090	exonic	None	0.225667104125146	0.0370568092724689	up	no
hsa_circRNA_039783	exonic	CBFB	0.132487921753124	0.134380292841141	up	no
hsa_circRNA_002961	exonic	MTDH	0.205419500988912	0.0892767810938886	up	no
hsa_circRNA_103943	exonic	SEC24A	0.290588259849043	0.0481371923060298	up	no
hsa_circRNA_405972	exonic	MMADHC	0.0705480844019135	0.0875333204123907	up	no
hsa_circRNA_006811	exonic	TRIM2	0.436323136961945	0.0150141439594468	up	no
hsa_circRNA_007260	intronic	UCK2	0.22233150545444	0.042240916837838	up	no
hsa_circRNA_086376	exonic	NFIB	0.166568853167339	0.0606978403536116	up	no
hsa_circRNA_102890	exonic	SATB2	0.467845730189027	-0.00572809610676687	down	no
hsa_circRNA_005828	exonic	WAPAL	0.0369776537240141	0.0825812202131382	up	no
hsa_circRNA_102469	exonic	TPM4	0.234614945009034	0.150188592409626	up	no
hsa_circRNA_103795	exonic	TRIO	0.192811465907786	0.0779736854203179	up	no
hsa_circRNA_102891	exonic	SPATS2L	0.306681738245321	0.0427289769260478	up	no
hsa_circRNA_002876	exonic	EPN2	0.249434693434198	0.0780134196924462	up	no
