feature_id	display_label	log2_fold_change	raw_p_value	BH_FDR	nominal_discovery	FDR_significant	direction	biologically_prioritized	experimentally_evaluated	candidate_highlight	candidate_highlight_reason	threshold_interpretation
hsa-miR-3679-3p	hsa-miR-3679-3p	0.980383123126464	0.403147737994825	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-4762-3p	hsa-miR-4762-3p	0			FALSE	FALSE	unchanged	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-1271-5p	hsa-miR-1271-5p	0.643739814302098	0.108963514121665	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-887-5p	hsa-miR-887-5p	1.35992993712544	0.132526142792138	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-659-3p	hsa-miR-659-3p	0.872336501363795	0.422649730810374	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-30d-3p	hsa-miR-30d-3p	-0.526472945165976	0.00358391952183999	0.753091701676768	TRUE	FALSE	down	FALSE	FALSE	FALSE		nominal P < 0.05 exploratory miRNA screen
hsa-miR-30e-3p	hsa-miR-30e-3p	-0.170647103922878	0.337515504233112	0.753091701676768	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-30a-3p	hsa-miR-30a-3p	-0.304442182702548	0.0481441100339849	0.753091701676768	TRUE	FALSE	down	FALSE	FALSE	FALSE		nominal P < 0.05 exploratory miRNA screen
hsa-miR-6885-3p	hsa-miR-6885-3p	0.00397646637389637	0.994444295758161	0.997293706347726	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-129-5p	hsa-miR-129-5p	0.408930066237895	0.674917581612894	0.916516159024411	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-12136	hsa-miR-12136	-0.262966766099869	0.489332754617754	0.799572602917683	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-4668-3p	hsa-miR-4668-3p	0.332810802940831	0.422649730810374	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-3662	hsa-miR-3662	0.34913972607248	0.692456272926844	0.916516159024411	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548aq-5p	hsa-miR-548aq-5p	0.397880039926759	0.478415728579054	0.796435819249076	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-337-5p	hsa-miR-337-5p	-0.0303604423432766	0.907288964644723	0.972857097713563	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-4511	hsa-miR-4511	0.354282845927852	0.422649730810374	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
