query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents
query_1	FALSE	1	87	384	6	0.015625	0.0689655172413793	GO:0061135	GO:MF	endopeptidase regulator activity	13933	7674	GO:0061134
query_1	FALSE	1	116	384	7	0.0182291666666667	0.0603448275862069	GO:0061134	GO:MF	peptidase regulator activity	13933	7673	GO:0030234
query_1	FALSE	1	44	384	1	0.00260416666666667	0.0227272727272727	GO:0060590	GO:MF	ATPase regulator activity	13933	7668	GO:0098772
query_1	FALSE	1	389	384	15	0.0390625	0.038560411311054	GO:0060589	GO:MF	nucleoside-triphosphatase regulator activity	13933	7667	GO:0030234
query_1	FALSE	1	15	384	1	0.00260416666666667	0.0666666666666667	GO:0060229	GO:MF	lipase activator activity	13933	7662	GO:0008047
query_1	FALSE	1	23	384	1	0.00260416666666667	0.0434782608695652	GO:0060175	GO:MF	brain-derived neurotrophic factor receptor activity	13933	7659	GO:0004714;GO:0005030
query_1	FALSE	1	1103	384	19	0.0494791666666667	0.0172257479601088	GO:0060090	GO:MF	molecular adaptor activity	13933	7658	GO:0003674
query_1	FALSE	1	17	384	1	0.00260416666666667	0.0588235294117647	GO:0070628	GO:MF	proteasome binding	13933	7957	GO:0044877
query_1	FALSE	1	4	384	1	0.00260416666666667	0.25	GO:0070492	GO:MF	oligosaccharide binding	13933	7932	GO:0030246
query_1	FALSE	1	23	384	2	0.00520833333333333	0.0869565217391304	GO:0070412	GO:MF	R-SMAD binding	13933	7927	GO:0046332
query_1	FALSE	1	16	384	2	0.00520833333333333	0.125	GO:0070411	GO:MF	I-SMAD binding	13933	7926	GO:0046332
query_1	FALSE	1	8	384	1	0.00260416666666667	0.125	GO:0070410	GO:MF	co-SMAD binding	13933	7925	GO:0046332
query_1	FALSE	1	15	384	1	0.00260416666666667	0.0666666666666667	GO:0070403	GO:MF	NAD+ binding	13933	7921	GO:0043168;GO:0051287
query_1	FALSE	1	3	384	1	0.00260416666666667	0.333333333333333	GO:0070326	GO:MF	very-low-density lipoprotein particle receptor binding	13933	7911	GO:0070325
query_1	FALSE	1	22	384	1	0.00260416666666667	0.0454545454545455	GO:0070325	GO:MF	lipoprotein particle receptor binding	13933	7910	GO:0005102
query_1	FALSE	1	38	384	1	0.00260416666666667	0.0263157894736842	GO:0070279	GO:MF	vitamin B6 binding	13933	7900	GO:0019842;GO:1901363
query_1	FALSE	1	8	384	1	0.00260416666666667	0.125	GO:0070181	GO:MF	small ribosomal subunit rRNA binding	13933	7888	GO:0019843
query_1	FALSE	1	7	384	1	0.00260416666666667	0.142857142857143	GO:0070097	GO:MF	delta-catenin binding	13933	7882	GO:0005515
query_1	FALSE	1	3	384	1	0.00260416666666667	0.333333333333333	GO:0070053	GO:MF	thrombospondin receptor activity	13933	7874	GO:0038023
query_1	FALSE	1	4	384	1	0.00260416666666667	0.25	GO:0070026	GO:MF	nitric oxide binding	13933	7862	GO:0036094
query_1	FALSE	1	2	384	1	0.00260416666666667	0.5	GO:0070012	GO:MF	oligopeptidase activity	13933	7859	GO:0004175
query_1	FALSE	1	22	384	2	0.00520833333333333	0.0909090909090909	GO:0070006	GO:MF	metalloaminopeptidase activity	13933	7855	GO:0004177;GO:0008235
query_1	FALSE	1	15	384	1	0.00260416666666667	0.0666666666666667	GO:0070001	GO:MF	aspartic-type peptidase activity	13933	7850	GO:0008233
query_1	FALSE	1	53	384	2	0.00520833333333333	0.0377358490566038	GO:0072341	GO:MF	modified amino acid binding	13933	8085	GO:0005488
query_1	FALSE	1	5	384	1	0.00260416666666667	0.2	GO:0072320	GO:MF	volume-sensitive chloride channel activity	13933	8083	GO:0005225;GO:0005254
query_1	FALSE	1	8	384	1	0.00260416666666667	0.125	GO:0071855	GO:MF	neuropeptide receptor binding	13933	8062	GO:0001664
query_1	FALSE	1	15	384	2	0.00520833333333333	0.133333333333333	GO:0071814	GO:MF	protein-lipid complex binding	13933	8058	GO:0044877
query_1	FALSE	1	15	384	2	0.00520833333333333	0.133333333333333	GO:0071813	GO:MF	lipoprotein particle binding	13933	8057	GO:0071814
query_1	FALSE	1	1	384	1	0.00260416666666667	1	GO:0071791	GO:MF	chemokine (C-C motif) ligand 5 binding	13933	8053	GO:0019957
query_1	FALSE	1	5	384	1	0.00260416666666667	0.2	GO:0071714	GO:MF	icosanoid transmembrane transporter activity	13933	8050	GO:0170055
query_1	FALSE	1	23	384	1	0.00260416666666667	0.0434782608695652	GO:0071617	GO:MF	lysophospholipid acyltransferase activity	13933	8046	GO:0016747
query_1	FALSE	1	1	384	1	0.00260416666666667	1	GO:0070892	GO:MF	lipoteichoic acid immune receptor activity	13933	8004	GO:0038187
query_1	FALSE	1	33	384	2	0.00520833333333333	0.0606060606060606	GO:0070888	GO:MF	E-box binding	13933	8002	GO:0000978
query_1	FALSE	1	79	384	3	0.0078125	0.0379746835443038	GO:0070851	GO:MF	growth factor receptor binding	13933	7994	GO:0005102
query_1	FALSE	1	7	384	2	0.00520833333333333	0.285714285714286	GO:0070700	GO:MF	BMP receptor binding	13933	7972	GO:0070696
query_1	FALSE	1	1	384	1	0.00260416666666667	1	GO:0070698	GO:MF	type I activin receptor binding	13933	7970	GO:0070697
query_1	FALSE	1	6	384	1	0.00260416666666667	0.166666666666667	GO:0070697	GO:MF	activin receptor binding	13933	7969	GO:0070696
query_1	FALSE	1	13	384	3	0.0078125	0.230769230769231	GO:0070696	GO:MF	transmembrane receptor protein serine/threonine kinase binding	13933	7968	GO:0033612
query_1	FALSE	1	3	384	1	0.00260416666666667	0.333333333333333	GO:0070644	GO:MF	vitamin D response element binding	13933	7960	GO:0000978
query_1	FALSE	1	3	384	1	0.00260416666666667	0.333333333333333	GO:0097644	GO:MF	calcitonin family binding	13933	8359	GO:0017046
query_1	FALSE	1	4	384	1	0.00260416666666667	0.25	GO:0097642	GO:MF	calcitonin family receptor activity	13933	8357	GO:0008528
query_1	FALSE	1	21	384	1	0.00260416666666667	0.0476190476190476	GO:0097602	GO:MF	cullin family protein binding	13933	8348	GO:0005515
query_1	FALSE	1	1672	384	49	0.127604166666667	0.0293062200956938	GO:0097367	GO:MF	carbohydrate derivative binding	13933	8334	GO:0005488
query_1	FALSE	1	46	384	1	0.00260416666666667	0.0217391304347826	GO:0097110	GO:MF	scaffold protein binding	13933	8305	GO:0005515
query_1	FALSE	1	3	384	1	0.00260416666666667	0.333333333333333	GO:0097016	GO:MF	L27 domain binding	13933	8292	GO:0019904
query_1	FALSE	1	14	384	1	0.00260416666666667	0.0714285714285714	GO:0097001	GO:MF	ceramide binding	13933	8286	GO:0046625
query_1	FALSE	1	8	384	1	0.00260416666666667	0.125	GO:0090556	GO:MF	phosphatidylserine floppase activity	13933	8247	GO:0005548;GO:0140328
query_1	FALSE	1	9	384	1	0.00260416666666667	0.111111111111111	GO:0086080	GO:MF	protein binding involved in heterotypic cell-cell adhesion	13933	8204	GO:0098632
query_1	FALSE	1	2	384	1	0.00260416666666667	0.5	GO:0086077	GO:MF	gap junction channel activity involved in AV node cell-bundle of His cell electrical coupling	13933	8201	GO:0086075
query_1	FALSE	1	3	384	1	0.00260416666666667	0.333333333333333	GO:0086075	GO:MF	gap junction channel activity involved in cardiac conduction electrical coupling	13933	8199	GO:1903763
query_1	FALSE	1	4	384	1	0.00260416666666667	0.25	GO:0086008	GO:MF	voltage-gated potassium channel activity involved in cardiac muscle cell action potential repolarization	13933	8187	GO:0005249
query_1	FALSE	1	24	384	1	0.00260416666666667	0.0416666666666667	GO:0080025	GO:MF	phosphatidylinositol-3,5-bisphosphate binding	13933	8128	GO:1901981;GO:1902936
