feature_id	gene_symbol	display_label	log2_fold_change	raw_p_value	BH_FDR	nominal_discovery	FDR_significant	direction
ENSG00000075975	MKRN2	MKRN2	-0.0805585729837325	0.471237037637555	0.847749850873308	FALSE	FALSE	down
ENSG00000076003	MCM6	MCM6	0.434192857053355	0.000120321599824867	0.00322015570315231	FALSE	FALSE	up
ENSG00000076043	REXO2	REXO2	-0.0121034578655398	0.88659567367843	0.978408158838688	FALSE	FALSE	down
ENSG00000076053	RBM7	RBM7	0.0154879111895002	0.886111362288102	0.978378223392487	FALSE	FALSE	up
ENSG00000076067	RBMS2	RBMS2	-0.0493576623796992	0.603681925797267	0.903455687438423	FALSE	FALSE	down
ENSG00000076108	BAZ2A	BAZ2A	0.165530124633214	0.0340634188576461	0.246019439499728	FALSE	FALSE	up
ENSG00000076201	PTPN23	PTPN23	0.00849923452628884	0.912323451281386	0.982780933943034	FALSE	FALSE	up
ENSG00000076242	MLH1	MLH1	-0.0530042702065044	0.55609413409276	0.887328955186544	FALSE	FALSE	down
ENSG00000076248	UNG	UNG	0.260861996347917	0.0036120523607854	0.0494695664324004	FALSE	FALSE	up
ENSG00000076258	FMO4	FMO4	-0.695826266856434	0.0177584033030083	0.159643141318053	TRUE	FALSE	down
ENSG00000076321	KLHL20	KLHL20	-0.123509634293441	0.241715662766535	0.67733616251115	FALSE	FALSE	down
ENSG00000076344	RGS11	RGS11	-0.0526451102644387	0.832353654954432	0.968530560179331	FALSE	FALSE	down
ENSG00000076351	SLC46A1	SLC46A1	0.0867641797459123	0.673451632950579	0.927614748507264	FALSE	FALSE	up
ENSG00000076356	PLXNA2	PLXNA2	1.277312297873	1.94868395263822e-09	1.48237659158028e-07	TRUE	TRUE	up
ENSG00000076382	SPAG5	SPAG5	-0.262964376291812	0.00574285478492012	0.071135166747369	FALSE	FALSE	down
ENSG00000076513	ANKRD13A	ANKRD13A	0.107209281359384	0.358464206525899	0.776768525028093	FALSE	FALSE	up
ENSG00000076554	TPD52;TPD52-MRPS28	TPD52;TPD52-MRPS28	0.201893550391916	0.51517859209373	0.867742367945225	FALSE	FALSE	up
ENSG00000076555	ACACB	ACACB	-0.330855792679059	0.0329901032154078	0.241003379282914	FALSE	FALSE	down
ENSG00000076604	TRAF4	TRAF4	-0.0333093623578974	0.720069080016584	0.944858621261097	FALSE	FALSE	down
ENSG00000076641	PAG1	PAG1	0.252849516646701	0.0126439232649322	0.125950013471187	FALSE	FALSE	up
ENSG00000076650	GPATCH1	GPATCH1	0.147195429072993	0.200384444138898	0.63063327928728	FALSE	FALSE	up
ENSG00000076685	NT5C2	NT5C2	0.201471950112636	0.0792342261951382	0.400231491899441	FALSE	FALSE	up
ENSG00000076706	MCAM	MCAM	-0.169997920813319	0.66021202952831	0.924475496616114	FALSE	FALSE	down
ENSG00000076716	GPC4	GPC4	-0.202892316238644	0.582347901845405	0.897612903274545	FALSE	FALSE	down
ENSG00000076770	MBNL3	MBNL3	-0.262798959415846	0.0474918059259477	0.30055351999821	FALSE	FALSE	down
ENSG00000076924	XAB2	XAB2	-0.017635723681063	0.838267652717294	0.969950281771658	FALSE	FALSE	down
ENSG00000076928	ARHGEF1	ARHGEF1	-0.0502015609181412	0.624596515130814	0.910019278934726	FALSE	FALSE	down
ENSG00000076944	STXBP2	STXBP2	-0.0416814100762167	0.831765685001875	0.968368538838122	FALSE	FALSE	down
ENSG00000076984	MAP2K7	MAP2K7	0.0297912837484823	0.81218261253529	0.965867752669436	FALSE	FALSE	up
ENSG00000077044	DGKD	DGKD	-0.0332542099990569	0.80760143843976	0.96532855113931	FALSE	FALSE	down
ENSG00000077063	CTTNBP2	CTTNBP2	2.54657980757868	2.07836229962039e-14	2.79719587574871e-12	TRUE	TRUE	up
ENSG00000077097	TOP2B	TOP2B	0.0707537421363158	0.431007094617284	0.822844633480429	FALSE	FALSE	up
ENSG00000077147	TM9SF3	TM9SF3	0.119306808977169	0.179797758419647	0.601632614056848	FALSE	FALSE	up
ENSG00000077150	NFKB2	NFKB2	0.000182675569380453	0.998741388259276	0.999895844430927	FALSE	FALSE	up
ENSG00000077152	UBE2T	UBE2T	-0.0199110087499653	0.860208478462768	0.973807814202493	FALSE	FALSE	down
ENSG00000077157	PPP1R12B	PPP1R12B	0.015141075491366	0.90825383685134	0.982437590051112	FALSE	FALSE	up
ENSG00000077232	DNAJC10	DNAJC10	-0.0995200052872771	0.275441255241194	0.712239284982632	FALSE	FALSE	down
ENSG00000077235	GTF3C1	GTF3C1	0.0102169280359165	0.897565048047083	0.980735205114365	FALSE	FALSE	up
ENSG00000077238	IL4R	IL4R	0.236515041196676	0.0605638082860904	0.344456560836081	FALSE	FALSE	up
ENSG00000077254	USP33	USP33	0.136278133867869	0.146074276885667	0.550660289137808	FALSE	FALSE	up
ENSG00000077312	SNRPA	SNRPA	0.058053133217669	0.462681075185437	0.841385865840011	FALSE	FALSE	up
ENSG00000077348	EXOSC5	EXOSC5	0.208013453875578	0.138761513550313	0.538764190059288	FALSE	FALSE	up
ENSG00000077380	DYNC1I2	DYNC1I2	-0.0571876816860821	0.52088795764283	0.870239764039949	FALSE	FALSE	down
ENSG00000077454	LRCH4	LRCH4	0.0217842429991692	0.851492488065121	0.97240253455858	FALSE	FALSE	up
ENSG00000077458	FAM76B	FAM76B	0.13310023682218	0.310486453471644	0.74288528021241	FALSE	FALSE	up
ENSG00000077463	SIRT6	SIRT6	0.00864220046361547	0.947452473221347	0.9892206674384	FALSE	FALSE	up
ENSG00000077514	POLD3	POLD3	0.138977872121589	0.115529085247373	0.492405787517503	FALSE	FALSE	up
ENSG00000077522	ACTN2	ACTN2	0.0624843151991627	0.791455102716853	0.964090200880495	FALSE	FALSE	up
ENSG00000077549	CAPZB	CAPZB	-0.0214561279564234	0.804050533688424	0.964401007582899	FALSE	FALSE	down
ENSG00000077585	GPR137B	GPR137B	0.137547866512968	0.348879200260496	0.770595260540661	FALSE	FALSE	up
ENSG00000077684	JADE1	JADE1	0.873857096320076	2.72603675587276e-29	9.53908411798775e-27	TRUE	TRUE	up
ENSG00000077713	SLC25A43	SLC25A43	0.0686836436216516	0.478931885240097	0.85267904346283	FALSE	FALSE	up
ENSG00000077721	UBE2A	UBE2A	0.0675266701457231	0.39441099899946	0.798857493394289	FALSE	FALSE	up
ENSG00000077782	FGFR1	FGFR1	0.117510225957952	0.306567371929685	0.738119062957323	FALSE	FALSE	up
ENSG00000077935	SMC1B	SMC1B	0.171982625578904	0.221816376916073	0.654599162490886	FALSE	FALSE	up
ENSG00000077942	FBLN1	FBLN1	0.127689132962933	0.387889379719176	0.794889062865363	FALSE	FALSE	up
ENSG00000078018	MAP2	MAP2	-0.246863391237664	0.206871017517422	0.63724968831701	FALSE	FALSE	down
ENSG00000078043	PIAS2	PIAS2	0.0596625319154305	0.472529408300979	0.848482116433252	FALSE	FALSE	up
ENSG00000078061	ARAF	ARAF	0.100568955019665	0.202719886262868	0.632234903748074	FALSE	FALSE	up
ENSG00000078070	MCCC1	MCCC1	0.108303565354691	0.281369450033831	0.718804196408747	FALSE	FALSE	up
ENSG00000078081	LAMP3	LAMP3	-0.827731794083251	0.00682616043834074	0.0808799624105918	TRUE	FALSE	down
ENSG00000078098	FAP	FAP	0.316728017059037	0.0141395172873817	0.136584419234977	FALSE	FALSE	up
ENSG00000078114	NEBL	NEBL	0.913480980377581	0.000103720646192422	0.0028244705929092	TRUE	TRUE	up
ENSG00000078124	ACER3	ACER3	-0.0134256885040021	0.910822974619128	0.982609761591245	FALSE	FALSE	down
ENSG00000078140	UBE2K	UBE2K	-0.0287681925694679	0.742089802033706	0.952414355315035	FALSE	FALSE	down
ENSG00000078142	PIK3C3	PIK3C3	0.201478440857485	0.0237170338437718	0.194816503938541	FALSE	FALSE	up
ENSG00000078177	N4BP2	N4BP2	-0.0922088953366909	0.542395724449647	0.880323858432479	FALSE	FALSE	down
ENSG00000078237	TIGAR	TIGAR	-0.265462932748385	0.130060648364061	0.522706860788461	FALSE	FALSE	down
ENSG00000078246	TULP3	TULP3	0.0817786114197773	0.421318978259557	0.815770056536038	FALSE	FALSE	up
ENSG00000078269	SYNJ2	SYNJ2	0.0737202285146437	0.585567174537219	0.897865715549862	FALSE	FALSE	up
ENSG00000078304	PPP2R5C	PPP2R5C	-0.0483112269931381	0.532976333549081	0.875360277368217	FALSE	FALSE	down
ENSG00000078369	GNB1	GNB1	-0.0156767379660816	0.844580900108619	0.971150393298806	FALSE	FALSE	down
ENSG00000078399	HOXA9	HOXA9	-0.253496754766764	0.0554890332254195	0.32820824444242	FALSE	FALSE	down
ENSG00000078401	EDN1	EDN1	-0.658534846080526	0.0661008128963658	0.362448259661905	FALSE	FALSE	down
ENSG00000078403	MLLT10	MLLT10	-0.019645719623437	0.832284223999819	0.968530286275812	FALSE	FALSE	down
ENSG00000078487	ZCWPW1	ZCWPW1	-0.0467683435799927	0.854613450920973	0.972483923446076	FALSE	FALSE	down
ENSG00000078618	NRDC	NRDC	0.0391735042003217	0.646345707254586	0.919779949609277	FALSE	FALSE	up
ENSG00000078668	VDAC3	VDAC3	0.00565026505455502	0.952084572422279	0.990765086372718	FALSE	FALSE	up
ENSG00000078674	PCM1	PCM1	0.0726648944193807	0.376051584328177	0.787980781450743	FALSE	FALSE	up
ENSG00000078687	TNRC6C	TNRC6C	-0.0383496526260748	0.788080197211995	0.964090200880495	FALSE	FALSE	down
ENSG00000078699	CBFA2T2	CBFA2T2	-0.0770925890197391	0.484041790193018	0.854475083532814	FALSE	FALSE	down
ENSG00000078747	ITCH	ITCH	0.0297248340450261	0.764475527618859	0.959550297680169	FALSE	FALSE	up
ENSG00000078804	TP53INP2	TP53INP2	0.081682157729222	0.639573665398034	0.918071233163396	FALSE	FALSE	up
ENSG00000078808	SDF4	SDF4	0.0200122589240234	0.801448613138829	0.964090200880495	FALSE	FALSE	up
ENSG00000078814	MYH7B	MYH7B	-0.475355435765227	0.0676322737856962	0.367202845685954	FALSE	FALSE	down
ENSG00000078900	TP73	TP73	0.40468440751555	0.11473274430891	0.490505260260177	FALSE	FALSE	up
ENSG00000078902	TOLLIP	TOLLIP	0.0219071033880036	0.803618273147079	0.964401007582899	FALSE	FALSE	up
ENSG00000078967	UBE2D4	UBE2D4	-0.0611584309678309	0.72068167872339	0.944930136483772	FALSE	FALSE	down
ENSG00000079134	THOC1	THOC1	0.0259327260108081	0.833303384298543	0.969313344139177	FALSE	FALSE	up
ENSG00000079150	FKBP7	FKBP7	-0.562361994403383	0.000128614274098345	0.00337751218490533	FALSE	FALSE	down
