"Name","Chromosome","Region","Identifier","IL4_B_S8_L001 (trimmed, grouped on mature) - Total counts","IL4_B_S8_L001 (trimmed, grouped on mature) - RPKM","IL4_B_S8_L001 (trimmed, grouped on mature) - TPM","IL4_B_S8_L001 (trimmed, grouped on mature) - CPM","IL4_A_S7_L001 (trimmed, grouped on mature) - Total counts","IL4_A_S7_L001 (trimmed, grouped on mature) - RPKM","IL4_A_S7_L001 (trimmed, grouped on mature) - TPM","IL4_A_S7_L001 (trimmed, grouped on mature) - CPM","IL4_C_S9_L001 (trimmed, grouped on mature) - Total counts","IL4_C_S9_L001 (trimmed, grouped on mature) - RPKM","IL4_C_S9_L001 (trimmed, grouped on mature) - TPM","IL4_C_S9_L001 (trimmed, grouped on mature) - CPM","IL13_C_S6_L001 (trimmed, grouped on mature) - Total counts","IL13_C_S6_L001 (trimmed, grouped on mature) - RPKM","IL13_C_S6_L001 (trimmed, grouped on mature) - TPM","IL13_C_S6_L001 (trimmed, grouped on mature) - CPM","IL13_A_S4_L001 (trimmed, grouped on mature) - Total counts","IL13_A_S4_L001 (trimmed, grouped on mature) - RPKM","IL13_A_S4_L001 (trimmed, grouped on mature) - TPM","IL13_A_S4_L001 (trimmed, grouped on mature) - CPM","IL13_B_S5_L001 (trimmed, grouped on mature) - Total counts","IL13_B_S5_L001 (trimmed, grouped on mature) - RPKM","IL13_B_S5_L001 (trimmed, grouped on mature) - TPM","IL13_B_S5_L001 (trimmed, grouped on mature) - CPM","V_A_S1_L001 (trimmed, grouped on mature) - Total counts","V_A_S1_L001 (trimmed, grouped on mature) - RPKM","V_A_S1_L001 (trimmed, grouped on mature) - TPM","V_A_S1_L001 (trimmed, grouped on mature) - CPM","V_B_S2_L001 (trimmed, grouped on mature) - Total counts","V_B_S2_L001 (trimmed, grouped on mature) - RPKM","V_B_S2_L001 (trimmed, grouped on mature) - TPM","V_B_S2_L001 (trimmed, grouped on mature) - CPM","V_C_S3_L001 (trimmed, grouped on mature) - Total counts","V_C_S3_L001 (trimmed, grouped on mature) - RPKM","V_C_S3_L001 (trimmed, grouped on mature) - TPM","V_C_S3_L001 (trimmed, grouped on mature) - CPM"
"hsa-miR-548ak","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0016840","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","1","NaN","NaN","1.0890521938","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-548w","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0014222","2","NaN","NaN","4.5956989275","2","NaN","NaN","2.6577177714","0","NaN","NaN","0","1","NaN","NaN","1.0890521938","5","NaN","NaN","4.9891401868","2","NaN","NaN","2.5673855264","2","NaN","NaN","3.0416087447","2","NaN","NaN","2.8952085334","0","NaN","NaN","0"
"hsa-miR-548y","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0016595","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","1","NaN","NaN","1.4476042667","0","NaN","NaN","0"
"hsa-miR-548h-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0006411","2","NaN","NaN","4.5956989275","4","NaN","NaN","5.3154355429","4","NaN","NaN","6.9754840799","5","NaN","NaN","5.4452609689","4","NaN","NaN","3.9913121495","7","NaN","NaN","8.9858493424","5","NaN","NaN","7.6040218617","7","NaN","NaN","10.133229867","4","NaN","NaN","3.1800177894"
"hsa-miR-548ar-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0019131","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","2","NaN","NaN","2.8952085334","0","NaN","NaN","0"
"hsa-miR-548a-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0003612","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","1","NaN","NaN","1.4476042667","0","NaN","NaN","0"
"hsa-miR-548i","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0006421","0","NaN","NaN","0","3","NaN","NaN","3.9865766572","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","1","NaN","NaN","0.7950044474"
"hsa-miR-548as-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0019132","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-548ap-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0017875","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-548j-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0006345","1","NaN","NaN","2.2978494638","0","NaN","NaN","0","0","NaN","NaN","0","4","NaN","NaN","4.3562087751","3","NaN","NaN","2.9934841121","5","NaN","NaN","6.418463816","1","NaN","NaN","1.5208043723","0","NaN","NaN","0","3","NaN","NaN","2.3850133421"
"hsa-miR-548au-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0019145","0","NaN","NaN","0","1","NaN","NaN","1.3288588857","0","NaN","NaN","0","6","NaN","NaN","6.5343131626","0","NaN","NaN","0","0","NaN","NaN","0","2","NaN","NaN","3.0416087447","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-548c-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0003630","0","NaN","NaN","0","2","NaN","NaN","2.6577177714","2","NaN","NaN","3.4877420399","17","NaN","NaN","18.5138872941","2","NaN","NaN","1.9956560747","4","NaN","NaN","5.1347710528","8","NaN","NaN","12.1664349787","4","NaN","NaN","5.7904170669","1","NaN","NaN","0.7950044474"
"hsa-miR-548ab","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0016752","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","2","NaN","NaN","1.9956560747","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-548b-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0003596","1","NaN","NaN","2.2978494638","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","2","NaN","NaN","2.5673855264","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
