feature_id	V_A	V_B	V_C	IL4_A	IL4_B	IL4_C
PPFIBP2|hsa_circRNA_006891	4.85203127965962	5.02692713779599	5.4628006918294	5.60131963482693	5.4969233357045	5.71096204203706
TMCO4|hsa_circRNA_005068	10.2813409633183	11.4432558758076	9.71375420112583	11.7505639770037	12.162091465065	11.4759262414898
DDX26B|hsa_circRNA_404417	6.52604419081997	6.58983978198775	6.23612231953926	6.8994251971294	6.9579737104286	6.82220021989192
TAOK1|hsa_circRNA_004800	5.71249137112107	5.80571047217918	5.4628006918294	6.2614176588779	6.21685543959627	6.14165495906016
LIFR|hsa_circRNA_103820	6.63731051495528	6.18195470726915	5.87563221802881	7.4968989001494	7.24097768612473	7.63131923208951
TNC|hsa_circRNA_088194	5.38053646761238	5.15392170610486	5.25812459198779	7.28532601810057	7.13148641843142	7.54982816523065
MYO1D|hsa_circRNA_401775	6.20386640445858	6.47695019391626	5.89057057355434	6.8994251971294	6.82503062783322	7.07137398063093
MSH2|hsa_circRNA_006402	6.08256503830745	6.18195470726915	6.26350571985168	6.32077717681639	6.65491578162461	6.67544875889786
CTNNA1|hsa_circRNA_103961	7.0290428086687	7.26201740352044	7.00740214754033	7.38985916516444	7.53477913640993	7.61914058423932
PAPPA|hsa_circRNA_104897	6.34168109276589	6.17087278337811	6.23612231953926	6.74957277031538	6.65968016506875	6.59150297338213
TNC|hsa_circRNA_088200	5.46461688388837	5.41005402743182	5.68237304960349	7.58030115564312	7.26097267319755	7.62199147806813
CHD9|hsa_circRNA_001484	7.01547804947486	6.94956845155972	6.90679153383347	7.35356427408557	7.35160265886472	7.42129423045956
ETHE1|hsa_circRNA_051334	7.23726398079571	7.44333575699749	7.76518540818693	7.87680739698346	7.96765911130501	7.61198860473906
HMGCS1|hsa_circRNA_103828	9.92969827642493	10.1008704862556	9.25093680146873	10.7672120756748	10.7504209536051	10.336373385486
DHTKD1|hsa_circRNA_100549	7.49022767524698	7.39415382430028	7.60562424947872	7.75613065636112	7.96413279726472	8.05523774682074
CDCA7|hsa_circRNA_405997	8.30183953790135	9.1325499521082	8.2478884109239	9.33939868069192	9.77019142216869	9.23220127356172
SPATS2|hsa_circRNA_101052	7.19522273632213	7.54982816523065	7.09853026496243	7.69691023832631	7.76407971159213	7.66902349288669
ANKRD12|hsa_circRNA_102295	7.62929658345219	7.73277106191607	7.24705809631791	8.02509393006013	8.04919864288397	8.15210218797772
NFX1|hsa_circRNA_001612	6.52604419081997	6.48547306459899	6.18195470726915	6.77027970299978	6.82503062783322	6.97463873030449
PKD2|hsa_circRNA_103697	6.9061234189204	6.84851979570199	6.29242562173337	7.42759299290086	7.30294435646387	7.18919403255765
